type,term_id,name,slug,parent,normalized_name,blog_category
category,547,Hello Kitty Online,hello-kitty,mmos,Hello Kitty Online,MMOs
category,2044,HeroQuest,heroquest,tabletop-games,Heroquest,Board Games
category,548,Herotopia,herotopia,other-games,Herotopia,Gaming Culture & Commentary
category,549,HOARD,hoard,other-games,Hoard,Gaming Culture & Commentary
category,550,Ingress,ingress,other-games,Ingress,Gaming Industry & News
category,1727,Isometric tactical strategy,isometric-tactical-strategy,trends,Isometric Tactical Strategy,Strategy & 4X Games
category,551,It's a Wipe!,its-a-wipe,other-games,It's a Wipe!,Blogging & Meta
category,1517,Kaiju Wars,kaiju-wars,other-games,Kaiju Wars,Strategy & 4X Games
category,552,Kerbal Space Program,kerbal-space-program,other-games,Kerbal Space Program,Strategy & 4X Games
category,2212,Kesmai,kesmai,mmos,Kesmai,Gaming History
category,553,Kingdoms of Amalur: Reckoning,kingdoms-of-alura-reckoning,other-games,Kingdoms of Amalur: Reckoning,RPGs (Video Games)
category,554,Kung Foo!,kung-foo,mmos,Kung Foo!,Retro Gaming
category,555,LaTale,latale,mmos,Latale,Gaming Culture & Commentary
category,556,Legends of Zork,legends-of-zork,other-games,Legends of Zork,Gaming Culture & Commentary
category,557,LEGO Universe,lego-universe,mmos,Lego Universe,Board Games
category,558,LittleBig Planet,littlebig-planet,other-games,Littlebig Planet,Gaming Hardware & Platforms
category,559,LittleBigPlanet,littlebigplanet,other-games,Littlebigplanet,Gaming Hardware & Platforms
category,1522,Lord of the Chords,lord-of-the-chords,tabletop-games,Lord of the Chords,Blogging & Meta
category,560,Lord of the Rings,lord-of-the-rings-online,mmos,Lord of the Rings,Gaming Culture & Commentary
category,1936,Lost Ark,lost-ark,mmos,Lost Ark,MMOs
category,561,Love,love,mmos,Love,Blogging & Meta
category,562,Lucent Heart,lucent-heart,mmos,Lucent Heart,Gaming Culture & Commentary
category,563,Mabinogi,mabinogi,mmos,Mabinogi,MMOs
category,1700,Magic,magic,trends,Magic,Board Games
category,564,Magical Diary,magical-diary,other-games,Magical Diary,Board Games
category,2247,Malifaux,malifaux,tabletop-games,Malifaux,Miniatures & Wargaming
category,2158,Manor Lords,manor-lords,other-games,Manor Lords,Strategy & 4X Games
category,1938,MapleStory,maplestory,mmos,Maplestory,MMOs
category,1487,Massively multiplayer,massively-multiplayer,trends,Massively Multiplayer,MMOs
category,565,Metaplace,metaplace,other-games,Metaplace,MMOs
category,1712,Metroidvania games,metroidvania-games,trends,Metroidvania Games,Gaming Culture & Commentary
category,566,Minecraft,minecraft,other-games,Minecraft,Gaming Hardware & Platforms
category,1502,My Little Scythe,my-little-scythe,tabletop-games,My Little Scythe,Board Games
category,1521,Mystery Dice,mystery-dice,tabletop-games,Mystery Dice,Tabletop RPGs (TTRPGs)
category,1743,Mystery games,mystery-games,trends,Mystery Games,Gaming Culture & Commentary
category,2190,Nemesis,nemesis,tabletop-games,Nemesis,Board Games
category,567,Neopets,neopets,other-games,Neopets,MMOs
category,568,Neverwinter Nights,nwn,other-games,Neverwinter Nights,Gaming Culture & Commentary
category,569,Nostalgia the Guild,nostalgia-the-guild,everquest,Nostalgia the Guild,Gaming Culture & Commentary
category,570,Oblivion,oblivion,other-games,Oblivion,RPGs (Video Games)
category,1839,Photo Editing,photo-editing,trends,Photo Editing,"AI, Tools & Technology"
category,1690,Post-apocalyptic games,post-apocalyptic-games,trends,Post-Apocalyptic Games,Gaming Culture & Commentary
category,1740,Prehistoric games,prehistoric-games,trends,Prehistoric Games,Gaming Culture & Commentary
category,1472,Programming language,programming-language,trends,Programming Language,"AI, Tools & Technology"
category,1742,Psychological Thriller,psychological-thriller,trends,Psychological Thriller,Gaming Culture & Commentary
category,1681,Puzzles,puzzles,trends,Puzzles,Board Games
category,1528,Return to Dark Tower,return-to-dark-tower,tabletop-games,Return to Dark Tower,Board Games
category,1678,RPG,rpg,trends,RPG,RPGs (Video Games)
category,1840,Screenshots,screenshots,trends,Screenshots,Game Reviews & First Impressions
category,1501,Scythe,scythe,tabletop-games,Scythe,Board Games
category,1524,Set a Watch,set-a-watch,tabletop-games,Set a Watch,Board Games
category,571,Shards of Dalaya,shards-of-dalaya,everquest,Shards of Dalaya,Gaming Culture & Commentary
category,1713,Side-scrolling games,side-scrolling-games,trends,Side-Scrolling Games,Retro Gaming
category,1675,Sports,sports,trends,Sports,Gaming Culture & Commentary
category,1519,Star Scrappers Orbital,star-scrappers-orbital,tabletop-games,Star Scrappers Orbital,Gaming Culture & Commentary
category,1829,Star Trek,star-trek,trends,Star Trek,Gaming Culture & Commentary
category,572,Straight Talk Warhammer,straight-talk-warhammer,war,Straight Talk Warhammer,Miniatures & Wargaming
category,1676,Strategy,strategy,trends,Strategy,Strategy & 4X Games
category,1726,Supernatural Horror,supernatural-horror,trends,Supernatural Horror,Gaming Culture & Commentary
category,1469,System Software,system-software,trends,System Software,"AI, Tools & Technology"
category,1492,Tabletop game,tabletop-game,trends,Tabletop Game,Board Games
category,1677,Tactics,tactics,trends,Tactics,Strategy & 4X Games
category,1757,Text Adventure game,text-adventure-game,trends,Text Adventure Game,Retro Gaming
category,1468,Topic,topic,trends,Topic,Blogging & Meta
category,2125,Unicorn Overlord,unicorn-overlord,rpg,Unicorn Overlord,Strategy & 4X Games
category,2028,Baldur's Gate 3,baldurs-gate-3,rpg,Baldur's Gate 3,RPGs (Video Games)
category,2359,Frosthaven,frosthaven,gloomhaven,Frosthaven,Board Games
